rank,team,attack,defense,overall
1,Spain,1.5977136516088621,1.4289923462177412,4.702170818215077
2,Germany,1.5810548421826265,1.0308297003176754,4.5033688507783705
3,Argentina,1.455238962205934,1.6556664068136238,4.094542664480489
4,Netherlands,1.486249176326745,1.049024449004896,4.070204631335486
5,Portugal,1.4714749184048626,1.2107520349688752,4.057681532024197
6,England,1.4503223897565047,1.418744513563726,4.0224714450400025
7,France,1.4452076572739723,1.31399409022386,3.9739885656772893
8,Brazil,1.3920718422096223,1.4401839854053682,3.786292640243562
9,Colombia,1.37746836626809,1.204677115066644,3.6650625784515984
10,Norway,1.39622055149826,0.931451830774708,3.645921172884896
11,Belgium,1.3336221024887869,1.122814502501705,3.4694007767312733
12,Switzerland,1.2808104617639662,0.9972549853348079,3.230665183181331
13,Sweden,1.3133896888786472,0.6679430560064277,3.2059955871146952
14,Croatia,1.2470487538030928,0.9708909783636119,3.101311847589713
15,Italy,1.205579091458565,1.077977041582282,2.998408717728094
16,Denmark,1.20040290340024,1.1174509914758275,2.9943423331548686
17,Japan,1.1701570336444307,1.002554762127868,2.85555784327808
18,Austria,1.1234590612460447,0.9668543324715675,2.6951966936718477
19,Uruguay,1.0673176199925305,1.3341823849650574,2.6441963977144045
20,Morocco,1.0391279650933136,1.4939680075719046,2.602270766728587
21,Turkey,1.0934489469550166,0.7278811679205986,2.5016187394331575
22,United States,1.0229072693581023,0.8875321135201747,2.369598463207031
23,Canada,1.0155708747206986,0.8331023324079074,2.3262404852143566
24,Ukraine,1.02762308883525,0.7493418508349341,2.3217383136571317
25,Poland,1.0278336455450767,0.7365511954370908,2.3162420724436
26,Algeria,1.0099414778998415,0.7653356689251358,2.280262582334473
27,Senegal,0.976201308574935,0.9752617473099469,2.2772603572595886
28,Australia,0.9565051795686154,1.0946157545124016,2.2679168170106037
29,Basque Country,0.9843612925696441,0.8814626258927709,2.261925409253908
30,Russia,0.9823461204055793,0.8619764255860851,2.24838815588717
31,Iran,1.00505009437774,0.6986574782511373,2.2347917013725023
32,Greece,0.9475073882576756,1.00144003565898,2.2119224521291727
33,Israel,1.0581639534272378,0.39761016143788686,2.209152421338928
34,Serbia,0.949981509085864,0.864936892353954,2.1645837225844735
35,South Korea,0.9583235617464477,0.8128641745678519,2.1637360554951446
36,Venezuela,0.9667599165881161,0.7455474262705928,2.1549366420502367
37,Mexico,0.897995684181933,1.1721260007056227,2.144970425052465
38,Nigeria,0.9307044965142546,0.8743753862197161,2.1191728808292694
39,Czech Republic,0.9529085462379828,0.7151806610670508,2.1041375213071922
40,Scotland,0.8981135952632805,0.9282741413560577,2.059732435476195
41,Ecuador,0.790232724482883,1.3442517456746714,1.9431745394456086
42,Wales,0.8513008394571436,0.8282959610427311,1.9058993725397948
43,Hungary,0.84752172561564,0.7888276609929296,1.8794785767673758
44,Paraguay,0.831546044692232,0.8540979185292633,1.8712000514924303
45,Georgia,0.8656471924190172,0.6478511723319476,1.8533749001168671
46,Iceland,0.9102096882291438,0.43513032102895344,1.8376632008212517
47,Romania,0.8066374279749343,0.8357871396607551,1.8068288323605555
48,Côte d'Ivoire,0.787229939381982,0.9219922676519349,1.7995754555272905
49,Kosovo,0.7887327380001907,0.7910965243029011,1.7472584980442525
50,Chile,0.7512299248433695,0.8747114632000303,1.702623052326173
51,Jordan,0.8204082300672342,0.5384111001869115,1.687751996094012
52,Egypt,0.7257114896761497,0.9554075618161045,1.6815453157816018
53,Slovakia,0.7544563638334497,0.7760849578027333,1.6662509832294257
54,Isle of Man,0.9397544077835045,-0.02667473767432436,1.5323190909533306
55,Slovenia,0.6244490049359711,1.032328928064682,1.5110403622004935
56,Tunisia,0.7176415354687783,0.6110225945351362,1.506798086599745
57,Uzbekistan,0.6480856833535074,0.8693198669350649,1.4926407959622594
58,Cameroon,0.6620747487099605,0.7686004599100613,1.4751491820907678
59,Panama,0.7330335183475838,0.493832292245508,1.4711018363990505
60,Burkina Faso,0.7370674665935304,0.47032907119567113,1.4650014851648314
61,DR Congo,0.6046744303564828,0.9688399051088343,1.4511330402120386
62,Republic of Ireland,0.624090404498838,0.8727000109127792,1.448725480729677
63,Bolivia,0.7542809951081426,0.3478844945032832,1.4199018708576145
64,Mali,0.562235791919499,1.089429990910462,1.4181828237947183
65,Peru,0.5827726026849709,0.9837299937105632,1.4170834785829518
66,Jersey,0.7794306185434497,0.23489335042569104,1.3895753610171115
67,Costa Rica,0.6886191578035054,0.5017102868463678,1.3854702216926102
68,Bosnia and Herzegovina,0.6651223351741824,0.5266384421375706,1.3541414867638983
69,South Africa,0.6197269377930098,0.6332721915885363,1.3275686013682906
70,Ghana,0.6224236955395954,0.6129796953240078,1.3217047230842498
71,North Macedonia,0.6348445599379213,0.5553282960227977,1.312845018926332
72,Northern Ireland,0.5197544689877744,0.8065647348844436,1.235225810921361
73,Finland,0.5723377777709002,0.6123084198454883,1.2303076688414483
74,Albania,0.46435225697412624,0.9365441197414157,1.1990031729806498
75,United Arab Emirates,0.588587712551835,0.4969751202625267,1.1930743437713356
76,Saudi Arabia,0.5040908463049063,0.7591062604989823,1.1873951647403571
77,Qatar,0.6710556302010211,0.262175935483346,1.1869257104895614
78,Iraq,0.5481228536730964,0.5878568773216156,1.1744859501093163
79,Northern Cyprus,0.5953982655102935,0.4287026541256933,1.162399578772695
80,New Zealand,0.5245198562962968,0.5706721997507793,1.1245019596539676
81,Cabo Verde,0.4427521143520981,0.7120375070830122,1.0663428431878015
82,Gambia,0.6260382728859589,0.16046610052522103,1.0184400170489665
83,Guinea,0.49207278882627725,0.45968835756139953,1.0042227648461988
84,Haiti,0.53873912766509,0.2762359758048449,0.9552106696911246
85,Kárpátalja,0.5476771274361023,0.22008194460082817,0.9267785258817491
86,Gabon,0.5485433741260703,0.18784364504593162,0.9019858791793497
87,Panjab,0.587197397565242,0.10293857806277107,0.8967572456750452
88,Angola,0.35213956288550824,0.6406685393962674,0.895166957130241
89,Zambia,0.458337014012179,0.3577931517158463,0.8822241893071457
90,Zanzibar,0.2535926351687207,0.8839104873009791,0.8754826723106911
91,Montenegro,0.42619573416801115,0.407825950503423,0.8663258689819944
92,Ynys Môn,0.375354580853437,0.5175028035573817,0.8595003803690695
93,Benin,0.4286873613680828,0.35562686810997046,0.834506946042739
94,Belarus,0.4085586095303222,0.35456631494866564,0.8031698392551369
95,Bulgaria,0.4200292169629642,0.3176360232174076,0.7941383562241837
96,Syria,0.3383571501212416,0.4683927787837473,0.7766337746310429
97,Palestine,0.3714682787080351,0.38120902906935145,0.7668267533752903
98,Honduras,0.36338066485436243,0.35237557003604447,0.7351671802310441
99,Isle of Wight,0.40755718776576194,0.26205447311290714,0.7336722971863465
100,Padania,0.32947375802606654,0.41241049916494754,0.7281838869309972
101,Jamaica,0.32100154842829176,0.41769194399702436,0.7199426433090201
102,Abkhazia,0.25538812511757164,0.5555127350165059,0.7171845889578581
103,Guatemala,0.39338645479621187,0.2634996162716344,0.7136330839282944
104,Niger,0.42966207521843036,0.1931944653733316,0.7124164773648609
105,Oman,0.2613127114922152,0.5289924132059612,0.7094353604685192
